"﻿#","Company","Revenue"
1,"Wal-Mart Stores",408214000000
2,"Royal Dutch Shell",285129000000
3,"Exxon Mobil",284650000000
4,"BP",246138000000
5,"Toyota Motor",204106000000
6,"Japan Post Holdings",202196000000
7,"Sinopec",187518000000
8,"State Grid",184496000000
9,"AXA",175257000000
10,"China National Petroleum",165496000000
11,"Chevron",163527000000
12,"ING Group",163204000000
13,"General Electric",156779000000
14,"Total",155887000000
15,"Bank of America Corp.",150450000000
16,"Volkswagen",146205000000
17,"ConocoPhillips",139515000000
18,"BNP Paribas",130708000000
19,"Assicurazioni Generali",126012000000
20,"Allianz",125999000000
21,"AT&T",123018000000
22,"Carrefour",121452000000
23,"Ford Motor",118308000000
24,"ENI",117235000000
25,"J.P. Morgan Chase & Co.",115632000000
26,"Hewlett-Packard",114552000000
27,"E.ON",113849000000
28,"Berkshire Hathaway",112493000000
29,"GDF Suez",111069000000
30,"Daimler",109700000000
31,"Nippon Telegraph & Telephone",109656000000
32,"Samsung Electronics",108927000000
33,"Citigroup",108785000000
34,"McKesson",108702000000
35,"Verizon Communications",107808000000
36,"CrŽdit Agricole",106538000000
37,"Banco Santander",106345000000
38,"General Motors",104589000000
39,"HSBC Holdings",103736000000
40,"Siemens",103605000000
41,"American International Group",103189000000
42,"Lloyds Banking Group",102967000000
43,"Cardinal Health",99613000000
44,"NestlŽ",99114000000
45,"CVS Caremark",98729000000
46,"Wells Fargo",98636000000
47,"Hitachi",96593000000
48,"International Business Machines",95758000000
49,"Dexia Group",95144000000
50,"Gazprom",94472000000
51,"Honda Motor",92400000000
52,"ƒlectricitŽ de France",92204000000
53,"Aviva",92140000000
54,"Petrobras",91869000000
55,"Royal Bank of Scotland",91767000000
56,"PDVSA",91182000000
57,"Metro",91152000000
58,"Tesco",90234000000
59,"Deutsche Telekom",89794000000
60,"Enel",89329000000
61,"UnitedHealth Group",87138000000
62,"SociŽtŽ GŽnŽrale",84157000000
63,"Nissan Motor",80963000000
64,"Pemex",80722000000
65,"Panasonic",79893000000
66,"Procter & Gamble",79697000000
67,"LG",78892000000
68,"Telef—nica",78853000000
69,"Sony",77696000000
70,"Kroger",76733000000
71,"Groupe BPCE",76464000000
72,"Prudential",75010000000
73,"Munich Re Group",74764000000
74,"Statoil",74000000000
75,"Nippon Life Insurance",72051000000
76,"AmerisourceBergen",71789000000
77,"China Mobile Communications",71749000000
78,"Hyundai Motor",71678000000
79,"Costco Wholesale",71422000000
80,"Vodafone",70899000000
81,"BASF",70461000000
82,"BMW",70444000000
83,"Zurich Financial Services",70272000000
84,"Valero Energy",70035000000
85,"Fiat",69639000000
86,"Deutsche Post",69427000000
87,"Industrial & Commercial Bank of China",69295000000
88,"Archer Daniels Midland",69207000000
89,"Toshiba",68731000000
