#,Company,Revenue,Employees,Location,Industry
1,Cargill,110630000000,152600,MN,Farm Products
2,Koch Industries,98000000000,80000,KS,Chemicals - Major Diversified
3,Chrysler,59700000000,66409,MI,Auto Manufacturers - Major
4,GMAC Financial Services,31490000000,26700,MI,Financial Services
5,PricewaterhouseCoopers,28190000000,154000,NY,Business Services
6,Mars,27400000000,64400,VA,Confectioners
7,Bechtel,27000000000,42500,CA,Heavy Construction
8,HCA,26860000000,180000,TN,Hospitals
9,Ernst & Young,24520000000,135730,NY,Business Services
10,Publix Super Markets,23190000000,145000,FL,Grocery Stores
11,US Foodservice,20160000000,27091,IL,Food - Major Diversified
12,C&S Wholesale Grocers,19450000000,17100,NH,Food Wholesale
13,HE Butt Grocery,15500000000,70000,TX,Grocery Stores
14,Fidelity Investments,14900000000,44000,MA,Asset Management
15,Cox Enterprises,14590000000,79660,GA,Entertainment - Diversified
16,Flying J,14320000000,15900,UT,Oil & Gas Refining & Marketing
17,"Toys ""R"" Us",13790000000,70000,NJ,Toy & Hobby Stores
18,Meijer,13650000000,68800,MI,Grocery Stores
19,Platinum Equity,13500000000,50000,CA,Conglomerates
20,Aramark,13200000000,250000,PA,Business Services
21,Enterprise Rent-A-Car,13100000000,78000,MO,Rental & Leasing Services
22,TransMontaigne,12250000000,730,CO,Oil & Gas Pipelines
23,JM Family Enterprises,12200000000,4700,FL,Auto Manufacturers - Major
24,Tenaska Energy,11600000000,624,NE,Diversified Utilities
25,Love's Travel Stops,11460000000,5900,OK,Lodging
26,Reyes Holdings,11200000000,10000,IL,Food Wholesale
27,Harrah's Entertainment,10830000000,87000,NV,Gaming Activities
28,Capital Group Cos,9900000000,9000,CA,Asset Management
29,Dollar General,9500000000,71500,TN,"Discount, Variety Stores"
30,Performance Food Group,9480000000,10600,VA,Food Wholesale
31,SC Johnson & Son,8750000000,12000,WI,Personal Products
32,Transammonia,8340000000,356,NY,Agricultural Chemicals
33,Southern Wine & Spirits,8300000000,10300,FL,Beverages - Wineries & Distillers
34,CDW,8150000000,6300,IL,Computer Based Systems
35,Cumberland Farms,8100000000,6500,MA,Grocery Stores
36,Hilton Hotels,8090000000,100000,CA,Lodging
37,QuikTrip,8090000000,10472,OK,Grocery Stores
38,First Data,8050000000,27000,CO,Business Services
39,Giant Eagle,8020000000,37000,PA,Grocery Stores
40,Energy Future Holdings,7990000000,7600,TX,Electric Utilities
41,Advance Publications,7970000000,29100,NY,Publishing - Newspapers
42,Murdock Holding Company,7900000000,90204,CA,Farm Products
43,Menard,7800000000,40000,WI,Home Improvement Stores
44,Alticor,7100000000,13000,MI,Personal Products
45,Sinclair Oil,7000000000,7000,UT,Oil & Gas Refining & Marketing
46,Gordon Food Service,6700000000,12000,MI,Food Wholesale
47,Aleris International,6600000000,8800,OH,Metal Fabrication
48,Hy-Vee,6270000000,54000,IA,Grocery Stores
49,Peter Kiewit Sons',6240000000,19100,NE,Heavy Construction
50,Colonial Group,6200000000,1100,GA,Oil & Gas Refining & Marketing
51,Hexion Specialty Chemicals,5810000000,6400,OH,Specialty Chemicals
52,Freescale Semiconductor,5720000000,23200,TX,Semiconductor - Specialized
53,Gulf States Toyota,5700000000,1275,TX,Auto Manufacturers - Major
54,Allegis Group,5600000000,10000,MD,Information Technology Services
55,Keystone Foods,5580000000,13000,PA,Meat Products
56,RaceTrac Petroleum,5520000000,3812,GA,Grocery Stores
57,MBM,5500000000,3400,NC,Food Wholesale
58,Guardian Industries,5470000000,19000,MI,Auto Parts
59,Bloomberg,5400000000,10800,NY,Information & Delivery Services
60,McKinsey & Co,5330000000,15600,NY,Research Services
61,International Automotive Components,5310000000,28000,MI,Auto Parts
62,Unisource Worldwide,5300000000,6000,GA,Packaging & Containers
63,Graybar Electric,5260000000,8600,MO,Electronics Wholesale
64,Kohler,5230000000,32000,WI,General Building Materials
65,Avaya,5100000000,18000,NJ,Communication Equipment
66,Mansfield Oil,5100000000,285,GA,Oil & Gas Refining & Marketing
67,Save Mart Supermarkets,5100000000,23000,CA,Grocery Stores
68,Tribune Company,5060000000,19600,IL,Entertainment - Diversified
69,Wawa,5050000000,16426,PA,Grocery Stores
70,Pro-Build Holdings,5000000000,14123,CO,Building Materials Wholesale
71,SunGard Data Systems,4980000000,17900,PA,Business Software & Services
72,Southwire,4980000000,4200,GA,Industrial Equipment & Components
73,Kinray,4800000000,1000,NY,Drugs Wholesale
74,NewPage,4660000000,8500,OH,Paper & Paper Products
75,OSI Group,4620000000,22000,IL,Meat Products
76,DeBruce Grain,4620000000,535,MO,Farm Products
77,Neiman Marcus Group,4600000000,17000,TX,Department Stores
78,Charmer Sunbelt Group,4600000000,7000,NY,Beverages - Wineries & Distillers
79,Kingston Technology Company,4500000000,4500,CA,Semiconductor- Memory Chips
80,Wegmans Food Markets,4500000000,37385,NY,Grocery Stores
81,Ergon,4490000000,2500,MS,Oil & Gas Refining & Marketing
82,Sheetz,4410000000,11500,PA,Grocery Stores
83,JR Simplot,4400000000,10000,ID,Farm Products
84,Hearst,4380000000,17070,NY,Publishing - Newspapers
85,CH2M Hill Cos,4380000000,22000,CO,Heavy Construction
86,Levi Strauss & Co,4360000000,11550,CA,Textile - Apparel Clothing
87,Carlson Cos,4360000000,55000,MN,Lodging
88,Republic National Distributing Company,4320000000,4000,TX,Beverages - Wineries & Distillers
89,Perdue,4300000000,21000,MD,Meat Products
90,Scoular,4300000000,530,NE,Farm Products
91,Washington Cos,4300000000,1900,MT,Conglomerates
92,Clark Enterprises,4220000000,4200,MD,General Contractors
93,Hallmark Cards,4170000000,15724,MO,Entertainment - Diversified
94,Edward Jones,4150000000,37868,MO,Investment Brokerage - National
95,OSI Restaurant Partners,4150000000,109000,FL,Restaurants
96,Global Hyatt,4000000000,90000,IL,Lodging
97,Renco Group,4000000000,11400,NY,Steel & Iron
98,Whiting-Turner Contracting,3970000000,2200,MD,Heavy Construction
99,McJunkin Red Man,3950000000,2737,WV,Oil & Gas Equipment & Services
100,Red Apple Group,3950000000,7800,NY,Oil & Gas Refining & Marketing
101,Consolidated Elec Distributors,3900000000,6160,CA,"Wholesale, Other"
102,Manor Care,3890000000,61700,OH,Hospitals
103,Michaels Stores,3860000000,42000,TX,"Specialty Retail, Other"
104,Belk,3830000000,26375,NC,Department Stores
105,Roundy's Supermarkets,3800000000,20000,WI,Food Wholesale
106,Stater Bros,3740000000,19000,CA,Grocery Stores
107,Booz Allen Hamilton,3700000000,20000,VA,Technical Services
108,Brightstar,3660000000,2087,FL,Communication Equipment
109,Walsh Group,3600000000,10500,IL,General Contractors
110,Tishman Construction,3560000000,1051,NY,General Contractors
111,HT Hackney,3550000000,3570,TN,Food Wholesale
112,VWR Funding,3540000000,6960,PA,"Wholesale, Other"
113,Berry Plastics,3540000000,14130,IN,Rubber & Plastics
114,WinCo Foods,3520000000,11000,ID,Grocery Stores
115,Eby-Brown,3460000000,2245,IL,Food Wholesale
116,Raley's,3450000000,15500,CA,Grocery Stores
117,InterTech Group,3450000000,16000,SC,Synthetics
118,Ashley Furniture Industries,3430000000,17000,WI,Home Furnishings & Fixtures
119,Burlington Coat Factory,3420000000,26580,NJ,Apparel Stores
120,Schneider National,3400000000,22216,WI,Trucking
121,ServiceMaster,3360000000,29000,TN,Business Services
