1,"Walmart",418950000000,2150000,"Retailing","United States Bentonville - Arkansas -United States"
2,"ExxonMobil",370120000000,83600,"Oil and gas","United States Irving - Texas - United States"
3,"Royal Dutch Shell",368050000000,112000,"Oil and gas","NetherlandsThe Hague - Netherlandsand United KingdomLondon - United Kingdom"
4,"BP",297100000000,97600,"Oil and gas","United Kingdom London - England -United Kingdom"
5,"Sinopec",289770000000,400513,"Oil and gas","People's Republic of China Beijing - China"
6,"PetroChina",221950000000,464000,"Oil and gas","People's Republic of China Beijing - China"
7,"Total S.A.",212810000000,111401,"Oil and gas","France Courbevoie - ële-de-France - France"
8,"Chevron",204920000000,61533,"Oil and gas","United States San Ramon - California -United States"
9,"Toyota Motors",203680000000,316121,"Automotive","Japan Toyota - Aichi - Japan"
10,"Japan Post Holdings",200990000000,3251,"Conglomerate","Japan Tokyo - Japan"
11,"ConocoPhillips",198650000000,29700,"Oil and gas","United StatesHouston - Texas - United States"
12,"Vitol",195000000000,-0,"Raw material","Netherlands Rotterdam -Netherlands and SwitzerlandGeneva - Switzerland"
13,"State Grid Corporation of China",184560000000,1502000,"Electricity","People's Republic of China Beijing - China"
14,"Saudi Aramco",182360000000,54441,"Oil and gas","Saudi Arabia Dhahran - Saudi Arabia"
15,"Samsung Electronics",172500000000,275000,"Conglomerate","South Korea Samsung Town - Seoul -South Korea"
16,"Volkswagen Group",169530000000,329305,"Automotive","Germany Wolfsburg - Lower Saxony - Germany"
17,"General Electric",150210000000,287000,"Conglomerate","United States Fairfield - Connecticut -United States"
18,"Glencore International",144970000000,52000,"Raw materials","Switzerland Baar - Switzerland"
19,"Allianz",142240000000,151388,"Financial services","Germany Munich - Bavaria -Germany"
20,"ING Group",140720000000,107106,"Financial services","Netherlands Amsterdam -Netherlands"
21,"Berkshire Hathaway",136180000000,217000,"Conglomerate","United States Omaha - Nebraska -United States"
22,"General Motors",135590000000,284000,"Automotive","United States Detroit - Michigan -United States"
23,"Carrefour",134980000000,475976,"Retailing","France Levallois-Perret - France"
24,"Eni",131290000000,78417,"Oil and gas","Italy Rome - Lazio - Italy"
25,"Daimler AG",130620000000,260100,"Automotive","Germany Stuttgart - Baden-WŸrttemberg - Germany"
26,"Ford Motor Company",128950000000,327531,"Automotive","United States Dearborn - Michigan -United States"
27,"Hewlett-Packard",126030000000,321000,"Information technology","United States Palo Alto - California -United States"
28,"AT&T",124280000000,266590,"Telecommunications","United States Dallas - Texas - United States"
29,"E.ON",124080000000,85105,"Electricity; gas","Germany DŸsseldorf - North Rhine-Westphalia - Germany"
30,"AXA",121570000000,189927,"Financial services","France Paris - ële-de-France -France"
