#,Undergraduate Major,Avg Starting Salary,Mid Career Salary
1,Petroleum Engineering,93000 ,157000 
2,Aerospace Engineering,59400 ,108000 
3,Chemical Engineering,64800 ,108000 
4,Electrical Engineering,60800 ,104000 
5,Nuclear Engineering,63900 ,104000 
6,Applied Mathematics,56400 ,101000 
7,Biomedical Engineering,54800 ,101000 
8,Physics,50700 ,99600 
9,Computer Engineering,61200 ,99500 
10,Economics,48800 ,97800 
11,Computer Science,56200 ,97700 
12,Industrial Engineering,58200 ,97600 
13,Mechanical Engineering,58300 ,97400 
14,Building Construction,52900 ,94500 
15,Materials Science & Engineering,59400 ,93600 
16,Civil Engineering,53500 ,93400 
17,Statistics,50000 ,92900 
18,Finance,47500 ,91500 
19,Software Engineering,56700 ,91300 
20,Management Information Systems,50900 ,90300 
21,Mathematics,46400 ,88300 
22,Government,41500 ,87300 
23,Information Systems,49300 ,87100 
24,Construction Management,50400 ,87000 
25,Environmental Engineering,51000 ,85500 
26,Electrical Engineering Technology,55500 ,85300 
27,Supply Chain Management,49400 ,84500 
28,Mechanical Engineering Technology,53300 ,84300 
29,Chemistry,42400 ,83700 
30,Computer Information Systems,48300 ,83100 
31,International Relations,42400 ,83000 
32,Molecular Biology,40200 ,82900 
33,Urban Planning,41600 ,82800 
34,Industrial Design,42100 ,82300 
35,Geology,44600 ,82200 
36,Biochemistry,39800 ,82000 
37,Political Science,40100 ,81700 
38,Industrial Technology,49400 ,81500 
39,Food Science,48500 ,81100 
40,Information Technology,49600 ,79300 
41,Architecture,41900 ,78400 
42,Telecommunications,40000 ,78300 
43,Film Production,36100 ,77800 
44,Accounting,44600 ,77500 
45,Marketing,38600 ,77300 
46,Occupational Health and Safety,52300 ,77000 
47,Civil Engineering Technology,48100 ,75600 
48,International Business,42600 ,73700 
49,Advertising,37800 ,73200 
50,History,38500 ,73000 
51,Philosophy,39100 ,72900 
52,Biology,38400 ,72800 
53,Microbiology,40600 ,72600 
54,American Studies,40900 ,72500 
55,Fashion Design,37700 ,72200 
56,Communications,38200 ,72200 
57,Environmental Science,41600 ,71600 
58,Global & International Studies,38400 ,71400 
59,Geography,39600 ,71200 
60,Business,41100 ,70600 
61,Public Administration,39000 ,70600 
62,Landscape Architecture,43200 ,70300 
63,Biotechnology,47500 ,70100 
64,Zoology,34600 ,68800 
65,Drama,40700 ,68300 
66,Nursing,52700 ,68200 
67,Health Sciences,38300 ,68100 
68,Radio & Television,39200 ,67800 
69,Hotel Management,37900 ,67600 
70,English,37800 ,67500 
71,Forestry,37000 ,67200 
72,Journalism,35800 ,66600 
73,Hospitality & Tourism,36200 ,65800 
74,Literature,37500 ,65700 
75,Public Health,37800 ,65700 
76,Liberal Arts,35700 ,63900 
77,Public Relations,35700 ,63400 
78,Anthropology,36200 ,62900 
79,Psychology,35300 ,62500 
80,Animal Science,34600 ,62100 
81,Sociology,36600 ,62100 
82,Human Resources,38100 ,61900 
83,Kinesiology,34400 ,61600 
84,French,39600 ,61400 
85,Multimedia & Web Design,40100 ,61200 
86,Photography,35100 ,61200 
87,Health Care Administration,37700 ,60800 
88,Organizational Management,41500 ,60500 
89,Fine Arts,35400 ,60300 
90,Humanities,38600 ,60100 
91,Sports Management,37300 ,59800 
92,Agriculture,42300 ,59700 
93,Theater,35300 ,59600 
94,Fashion Merchandising,35000 ,59300 
95,Medical Technology,43800 ,59300 
96,Exercise Science,32800 ,59000 
97,Spanish,37100 ,58200 
98,Criminal Justice,35600 ,58000 
99,Visual Communication,36800 ,57700 
100,Social Science,38100 ,57200 
101,Art History,39400 ,57100 
102,Music,36700 ,57000 
103,Graphic Design,35400 ,56800 
104,Nutrition,42200 ,56700 
105,Interior Design,34400 ,56600 
106,Interdisciplinary Studies,35600 ,55700 
107,Education,35100 ,54900 
108,Art,33500 ,54800 
109,Religious Studies,34700 ,54400 
110,Dietetics,40400 ,54200 
111,Special Education,36000 ,53800 
112,Recreation & Leisure Studies,33300 ,53200 
113,Theology,34700 ,51300 
114,Paralegal Studies/Law,35100 ,51300 
115,Horticulture,35000 ,50800 
116,Culinary Arts,35900 ,50600 
117,Athletic Training,32800 ,45700 
118,Social Work,31800 ,44900 
119,Elementary Education,31600 ,44400 
120,Child and Family Studies,29500 ,38400 
